iter	Passed	Remaining
830	46328	9421
831	46373	9363
832	46426	9307
833	46469	9249
834	46510	9190
835	46554	9132
836	46597	9074
837	46651	9018
838	46697	8960
839	46740	8902
840	46785	8845
841	46838	8789
842	46880	8731
843	46926	8673
844	46976	8616
845	47025	8560
846	47077	8503
847	47125	8447
848	47176	8390
849	47221	8333
850	47269	8276
851	47325	8220
852	47367	8162
853	47420	8106
854	47467	8050
855	47513	7992
856	47566	7937
857	47604	7878
858	47645	7820
859	47686	7762
860	47743	7707
861	47794	7651
862	47848	7595
863	47894	7538
864	47940	7482
865	47991	7425
866	48034	7368
867	48078	7311
868	48126	7255
869	48173	7198
870	48221	7141
871	48273	7085
872	48325	7030
873	48377	6974
874	48428	6918
875	48472	6861
876	48523	6805
877	48573	6749
878	48616	6692
879	48663	6635
880	48709	6579
881	48761	6523
882	48810	6467
883	48859	6411
884	48906	6355
885	48951	6298
886	49006	6243
887	49054	6187
888	49134	6134
889	49210	6082
890	49287	6029
891	49353	5975
892	49420	5921
893	49512	5870
894	49613	5820
895	49696	5768
896	49781	5716
897	49839	5661
898	49905	5606
899	49986	5554
900	50054	5499
901	50164	5450
902	50259	5398
903	50315	5343
904	50374	5287
905	50440	5233
906	50495	5177
907	50538	5120
908	50586	5064
909	50639	5008
910	50683	4951
911	50740	4895
912	50790	4839
913	50851	4784
914	50899	4728
915	50949	4672
916	50998	4616
917	51049	4559
918	51095	4503
919	51141	4447
920	51195	4391
921	51254	4336
922	51304	4279
923	51354	4223
924	51404	4167
925	51453	4111
926	51506	4056
927	51556	4000
928	51617	3944
929	51674	3889
930	51716	3832
931	51770	3777
932	51814	3720
933	51861	3664
934	51904	3608
935	51952	3552
936	52003	3496
937	52047	3440
938	52100	3384
939	52142	3328
940	52183	3271
941	52231	3215
942	52277	3159
943	52324	3103
944	52367	3047
945	52421	2992
946	52460	2936
947	52509	2880
948	52548	2824
949	52586	2767
950	52628	2711
951	52679	2656
952	52728	2600
953	52772	2544
954	52822	2489
955	52877	2433
956	52930	2378
957	52976	2322
958	53027	2267
959	53087	2211
960	53147	2156
961	53200	2101
962	53244	2045
963	53295	1990
964	53341	1934
965	53387	1879
966	53432	1823
967	53476	1767
968	53523	1712
969	53568	1656
970	53606	1601
971	53651	1545
972	53699	1490
973	53745	1434
974	53790	1379
975	53842	1324
976	53886	1268
977	53936	1213
978	53988	1158
979	54037	1102
980	54076	1047
981	54116	991
982	54163	936
983	54213	881
984	54261	826
985	54303	771
986	54352	715
987	54393	660
988	54441	605
989	54491	550
990	54535	495
991	54574	440
992	54620	385
993	54671	330
994	54721	274
995	54768	219
996	54814	164
997	54866	109
998	54920	54
999	54973	0
